hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated
Kepler-146,5948.0,-0.0261,1.079,1.208,716.797,2014,Transit,Kepler,2337.87642332,2.1455915e+30,840405600.0,2,sub-solar,G,2025-10-29 17:25:48
Kepler-912,5998.0,0.02,1.07,1.11,2004.72,2016,Transit,Kepler,6538.514563199999,2.127695e+30,772227000.0000001,1,solar,G,2025-10-29 17:25:48
Kepler-939,5471.0,-0.12,0.88,0.85,2093.62,2016,Transit,Kepler,6828.467247199999,1.74988e+30,591345000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1291,5216.0,-0.04,0.84,0.8,897.352,2016,Transit,Kepler,2926.7673891199997,1.6703399999999998e+30,556560000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1002,6144.0,0.04,1.22,1.57,408.303,2016,Transit,Kepler,1331.70473268,2.42597e+30,1092249000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1873,5151.0,0.21,0.903,0.792,820.957,2021,Transit,Kepler,2677.60051292,1.7956155e+30,550994400.0,1,solar,K,2025-10-29 17:25:48
Kepler-829,5698.0,0.03,0.98,0.97,1073.76,2016,Transit,Kepler,3502.1326655999997,1.94873e+30,674829000.0,1,solar,G,2025-10-29 17:25:48
Kepler-344,5774.0,0.0399,0.931,0.976,1002.94,2014,Transit,Kepler,3271.1489864,1.8512935e+30,679003200.0,2,solar,G,2025-10-29 17:25:48
Kepler-246,5206.0,0.2,0.853,0.831,626.078,2014,Transit,Kepler,2041.9909616799998,1.6961905e+30,578126700.0,2,solar,G,2025-10-29 17:25:48
Kepler-992,4944.0,-0.04,0.8,0.74,259.639,2016,Transit,Kepler,846.82817684,1.5908e+30,514818000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1111,6077.0,0.02,1.1,1.15,841.536,2016,Transit,Kepler,2744.7201561599995,2.18735e+30,800054999.9999999,1,solar,F,2025-10-29 17:25:48
Kepler-923,5988.0,0.07,1.11,1.26,1000.28,2016,Transit,Kepler,3262.4732367999995,2.207235e+30,876582000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1273,5566.0,0.03,0.94,0.91,1114.24,2016,Transit,Kepler,3634.1606143999998,1.86919e+30,633087000.0,1,solar,G,2025-10-29 17:25:48
Kepler-36,5979.0,-0.18,1.034,1.634,527.956,2012,Transit,Kepler,1721.96017136,2.056109e+30,1136773800.0,2,sub-solar,G,2025-10-29 17:25:48
Kepler-183,5888.0,0.11,0.99,0.958,1050.64,2014,Transit,Kepler,3426.7253984,1.968615e+30,666480600.0,2,solar,G,2025-10-29 17:25:48
Kepler-179,5302.0,0.12,0.893,0.759,605.68,2014,Transit,Kepler,1975.4616607999997,1.7757305e+30,528036300.0,2,solar,G,2025-10-29 17:25:48
Kepler-1745,5611.0,0.16,0.995,1.4,996.105,2021,Transit,Kepler,3248.8562238,1.9785575e+30,973979999.9999999,1,solar,G,2025-10-29 17:25:48
Kepler-806,5770.0,0.0,0.99,1.16,361.896,2016,Transit,Kepler,1180.34551776,1.968615e+30,807012000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-902,5647.0,0.0,0.95,0.93,1165.34,2016,Transit,Kepler,3800.8263303999993,1.889075e+30,647001000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1854,5026.0,0.0,0.8,0.759,423.348,2021,Transit,Kepler,1380.77490288,1.5908e+30,528036300.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-894,5603.0,-0.25,0.87,0.85,1162.91,2016,Transit,Kepler,3792.9007396,1.7299949999999998e+30,591345000.0,1,sub-solar,G,2025-10-29 17:25:48
Kepler-1794,5052.0,0.02,0.773,0.816,561.229,2021,Transit,Kepler,1830.4820572400001,1.5371105e+30,567691200.0,1,solar,K,2025-10-29 17:25:48
Kepler-438,3748.0,0.16,0.544,0.52,195.94287175,2015,Transit,Kepler,639.07943278493,1.0817440000000001e+30,361764000.0,1,solar,M,2025-10-29 17:25:48
Kepler-817,5861.0,0.02,1.03,1.03,1484.46,2016,Transit,Kepler,4841.6553576,2.048155e+30,716571000.0,1,solar,G,2025-10-29 17:25:48
Kepler-1423,4939.0,-0.02,0.79,0.75,449.0,2016,Transit,Kepler,1464.4404399999999,1.570915e+30,521775000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1894,5772.0,0.0,0.999,0.901,935.191,2023,Transit,Kepler,3050.1815579599997,1.9865115e+30,626825700.0,2,sub-solar,G,2025-10-29 17:25:48
