pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-195 c,Kepler-195,Kepler,Transit,2014,5329.0,0.04,,0.867,0.775,2,1,652.051,Kepler
Kepler-724 b,Kepler-724,Kepler,Transit,2016,5437.0,-0.02,,0.9,0.86,1,1,853.119,Kepler
Kepler-190 b,Kepler-190,Kepler,Transit,2014,5106.0,0.06,,0.834,0.795,2,1,433.387,Kepler
Kepler-442 b,Kepler-442,Kepler,Transit,2015,4402.0,-0.37,,0.609,0.598,1,1,365.965,Kepler
Kepler-1495 b,Kepler-1495,Kepler,Transit,2016,5831.0,0.06,,1.03,1.04,1,1,1355.54,Kepler
Kepler-1661 b,Kepler-1661,Kepler,Transit,2020,5100.0,-0.12,24.44,0.841,0.762,1,2,410.607,Kepler
Kepler-232 b,Kepler-232,Kepler,Transit,2014,5847.0,0.03,,0.97,0.968,2,1,1349.13,Kepler
Kepler-112 c,Kepler-112,Kepler,Transit,2014,5544.0,-0.5221,,0.782,0.841,2,1,513.206,Kepler
Kepler-159 c,Kepler-159,Kepler,Transit,2014,4625.0,-0.04,,0.628,0.663,2,1,373.744,Kepler
Kepler-377 b,Kepler-377,Kepler,Transit,2014,5949.0,0.05,,1.043,1.224,2,1,823.804,Kepler
Kepler-54 d,Kepler-54,Kepler,Transit,2014,4252.0,-0.27,,0.518,0.554,3,1,271.701,Kepler
KOI-3680 b,KOI-3680,Kepler,Transit,2018,5830.0,0.16,,1.01,0.96,1,1,921.986,Kepler
Kepler-1463 b,Kepler-1463,Kepler,Transit,2016,5679.0,0.0,,0.96,0.95,1,1,1687.47,Kepler
Kepler-712 c,Kepler-712,Kepler,Transit,2016,5148.0,-0.03,,0.84,0.78,2,1,872.493,Kepler
Kepler-1983 b,Kepler-1983,Kepler,Transit,2023,5135.0,0.12,,0.812,0.874,1,1,424.428,Kepler
Kepler-983 b,Kepler-983,Kepler,Transit,2016,6052.0,0.12,,1.13,1.08,1,1,714.437,Kepler
Kepler-887 b,Kepler-887,Kepler,Transit,2016,6194.0,0.08,,1.19,1.29,2,1,886.588,Kepler
Kepler-1948 b,Kepler-1948,Kepler,Transit,2021,3872.0,0.12,,0.585,0.557,1,1,193.903,Kepler
Kepler-55 b,Kepler-55,Kepler,Transit,2012,4362.0,-0.01,,0.62,0.58,5,1,578.796,Kepler
Kepler-39 b,Kepler-39,Kepler,Transit,2011,6350.0,0.1,4.5,1.29,1.4,1,1,1057.41,Kepler
Kepler-158 b,Kepler-158,Kepler,Transit,2014,4623.0,-0.3,,0.655,0.624,3,1,315.177,Kepler
Kepler-196 c,Kepler-196,Kepler,Transit,2014,5128.0,0.03,,0.839,0.782,3,1,451.312,Kepler
