pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
TOI-5803 b,TOI-5803,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5134.0,,,0.87,0.7625,1,1,84.0126,TESS
TOI-969 b,TOI-969,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,4435.0,0.175,,0.734,0.671,2,1,77.2554,TESS
TOI-2136 b,TOI-2136,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,3342.0,0.03,75.0,0.34,0.34,1,1,33.3631,TESS
TOI-5261 b,TOI-5261,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5790.0,0.254,,1.037,1.021,1,1,377.054,TESS
TOI-5616 b,TOI-5616,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3996.0,0.14,,0.666,0.646,1,1,390.415,TESS
TOI-4504 c,TOI-4504,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5315.0,0.16,,0.89,0.92,3,1,342.605,TESS
TOI-2194 b,TOI-2194,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4756.0,-0.372,,0.74,0.6909,1,1,19.5711,TESS
TOI-1693 b,TOI-1693,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,3499.0,,,0.49,0.46,1,1,30.7947,TESS
TOI-2587 A b,TOI-2587 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5760.0,0.13,,1.15,1.726,1,2,373.675,TESS
TOI-329 b,TOI-329,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5614.0,0.205,,1.0678,1.5326,1,1,284.388,TESS
TOI-1753 b,TOI-1753,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5621.0,0.026,,0.9483,0.9715,1,1,226.671,TESS
BD-14 3065 b,BD-14 3065 A,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6935.0,-0.34,4.3,1.41,2.35,1,3,589.423,TESS
TOI-3884 b,TOI-3884,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,3180.0,0.04,,0.298,0.302,1,1,43.1448,TESS
TOI-833 b,TOI-833,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,3920.0,,,0.61,0.6,1,1,41.7148,TESS
TOI-904 c,TOI-904,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3770.2,0.022,17.1,0.557,0.527,2,1,46.0891,TESS
LHS 1678 c,LHS 1678,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,3490.0,,64.0,0.345,0.329,3,2,19.8782,TESS
TOI-4201 b,TOI-4201,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3794.0,0.52,17.3,0.61,0.63,1,1,189.011,TESS
TOI-519 b,TOI-519,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,3322.0,0.27,,0.335,0.35,1,1,115.557,TESS
TOI-2669 b,TOI-2669,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,4800.0,0.1,,1.19,4.1,1,1,393.443,TESS
TOI-2498 b,TOI-2498,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5905.0,0.167,,1.12,1.26,1,1,275.265,TESS
TOI-1346 c,TOI-1346,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5099.0,-0.01,,0.82,0.78,2,1,115.45,TESS
TOI-198 b,TOI-198,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,3650.0,-0.7,45.4,0.467,0.441,1,1,23.7262,TESS
TOI-561 b,TOI-561,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5342.0,-0.41,,0.806,0.843,4,1,85.799,TESS
TOI-2992 b,TOI-2992,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,6000.0,0.084,,1.21,1.545,1,1,542.026,TESS
TOI-1194 b,TOI-1194,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5394.0,0.348,,0.9835,0.9608,1,1,149.667,TESS
TOI-837 b,TOI-837,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5995.0,0.01,2.973,1.142,1.052,1,1,142.488,TESS
TOI-615 b,TOI-615,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,6850.0,-0.1,5.38,1.449,1.732,1,1,360.408,TESS
HD 56414 b,HD 56414,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,8500.0,0.0,,1.89,1.751,1,1,272.217,TESS
Gliese 12 b,Gliese 12,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3296.0,-0.32,85.0,0.2414,0.2617,1,1,12.21,TESS
TOI-6130 b,TOI-6130,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,6110.0,0.28,11.1,1.31,1.51,1,1,220.882,TESS
TOI-628 b,TOI-628,Transiting Exoplanet Survey Satellite (TESS),Transit,2021,6250.0,0.258,,1.311,1.345,1,1,178.68,TESS
TOI-5210 b,TOI-5210,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5723.0,0.324,,1.105,1.209,1,1,302.086,TESS
NGTS-30 b,NGTS-30,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5455.0,-0.03,,0.94,0.913,1,1,238.377,TESS
TOI-2719 b,TOI-2719,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5762.0,0.27,,1.02,1.69,1,1,588.368,TESS
TOI-6628 b,TOI-6628,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,5463.0,0.36,,0.97,1.01,1,1,320.527,TESS
