hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-1550,5991.0,0.01,1.07,1.11,1179.01,2016,Transit,Kepler,3845.4118556,2.127695e+30,772227000.0000001,1,solar,G,2025-10-29 17:25:48,0.48518806256429037,-0.06397357981008012,0.5253530234423044,0.2213946945183053,single
Kepler-414,5536.0,0.18,0.89,0.946,413.46,2014,Transit Timing Variations,Kepler,1348.5245976,1.7697649999999999e+30,658132200.0,2,solar,G,2025-10-29 17:25:48,0.07011593316309246,0.9960803215161252,-0.22011328350056367,-0.16413633387609308,few
Kepler-743,5486.0,0.01,0.94,0.85,278.987,2016,Transit,Kepler,909.93283972,1.8691900000000002e+30,591345000.0,1,solar,G,2025-10-29 17:25:48,0.024503611250872907,-0.06397357981008012,-0.013039309349767299,-0.38981303342403334,single
Kepler-1952,5973.0,-0.34,0.922,1.305,852.062,2021,Transit,Kepler,2779.05133672,1.833397e+30,907888500.0,1,sub-solar,G,2025-10-29 17:25:48,0.46876762667589134,-2.246437494305209,-0.08758594004405369,0.6798004904750586,single
Kepler-545,5882.0,0.03,1.04,1.07,818.001,2016,Transit,Kepler,2667.95934156,2.0680400000000003e+30,744399000.0,1,solar,G,2025-10-29 17:25:48,0.3857532007956518,0.060738643875355804,0.40110863895182636,0.1273627363733301,single
Kepler-916,5248.0,-0.05,0.85,0.81,830.712,2016,Transit,Kepler,2709.41703072,1.6902249999999998e+30,563517000.0,1,sub-solar,G,2025-10-29 17:25:48,-0.19261104105129218,-0.43811025086638794,-0.38577246282120115,-0.4838449915690083,single
Kepler-20,5495.0,0.07,0.929,0.9164,282.563,2011,Transit,Kepler,921.59617828,1.8473164999999998e+30,637539480.0,5,solar,G,2025-10-29 17:25:48,0.03271382919507242,0.3101630912462277,-0.05859558366294214,-0.23371998290337456,many
Kepler-1633,6256.0,0.02,1.2,1.32,1114.91,2016,Transit,Kepler,3636.3458596,2.3862000000000002e+30,918324000.0,1,solar,F,2025-10-29 17:25:48,0.726933368699054,-0.001617467967362149,1.0637453562343753,0.7150624747794246,single
Kepler-242,5020.0,-0.02,0.748,0.85,600.241,2014,Transit,Kepler,1957.72203596,1.487398e+30,591345000.0,2,sub-solar,K,2025-10-29 17:25:48,-0.4006032289710133,-0.25104191533823406,-0.8082033700888261,-0.38981303342403334,few
Kepler-399,5502.0,0.14,0.902,0.68,740.537,2014,Transit,Kepler,2415.30585772,1.793627e+30,473076000.00000006,3,solar,G,2025-10-29 17:25:48,0.039099554262783165,0.7466558741452535,-0.17041552970437243,-0.7894488555401774,few
Kepler-845,4913.0,0.01,0.79,0.75,431.051,2016,Transit,Kepler,1405.8986995599998,1.570915e+30,521775000.0,1,solar,K,2025-10-29 17:25:48,-0.49821359786316316,-0.06397357981008012,-0.6342612318021569,-0.6248929287864711,single
Kepler-1919,5513.0,-0.16,0.868,0.818,1177.53,2021,Transit,Kepler,3840.5847468,1.726018e+30,569082600.0,1,sub-solar,G,2025-10-29 17:25:48,0.04913426508347146,-1.1240274811362856,-0.31122583212691424,-0.4650385999400135,single
